,text,sentence,start_token,end_token,mention_type,label,grounding_id
307,self,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",45,46,TextBoundMention,Phrase,"(Low self esteem, hp:0031469, 0.76)"
308,safe,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",9,10,TextBoundMention,Phrase,
309,such,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",32,33,TextBoundMention,Phrase,
310,self-quarantine,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",43,44,TextBoundMention,Phrase,
311,world-wide approved vaccine,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",13,16,TextBoundMention,Phrase,"(licensed vaccine, vo:0000363, 0.84), (licensed turkey vaccine, vo:0000125, 0.82), (licensed human vaccine, vo:0000635, 0.81), (licensed influenza vaccine, vo:0003143, 0.80), (USA licensed vaccine, vo:0001485, 0.80)"
312,face coverings,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",35,37,TextBoundMention,Phrase,
313,has,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",23,24,TextBoundMention,Phrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
314,effective,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",11,12,TextBoundMention,Phrase,"(effective, vo:0000805, 1.00), (efficient, pato:0001678, 0.78)"
315,wearing,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",34,35,TextBoundMention,Phrase,
316,home,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",41,42,TextBoundMention,Phrase,
317,incorporating,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",26,27,TextBoundMention,Phrase,
318,absence,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",6,7,TextBoundMention,Phrase,"(LACK, vo:0011260, 0.76)"
319,been,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",24,25,TextBoundMention,Phrase,
320,ﬁ,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",14,15,TextBoundMention,Identifier,
321,ﬁ,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",6,7,TextBoundMention,Identifier,
322,been,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",9,10,TextBoundMention,VerbPhrase,
323,using,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",11,12,TextBoundMention,VerbPhrase,
324,have,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",8,9,TextBoundMention,VerbPhrase,
325,illustrated,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",10,11,TextBoundMention,VerbPhrase,
326,performed,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,1,2,TextBoundMention,VerbPhrase,
327,provided,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,11,12,TextBoundMention,VerbPhrase,
328,named,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,20,21,TextBoundMention,VerbPhrase,
329,methods,Materials and methods are presented in Section 2 .,2,3,TextBoundMention,Phrase,
330,Section 2,Materials and methods are presented in Section 2 .,6,8,TextBoundMention,Phrase,
331,are,Materials and methods are presented in Section 2 .,3,4,TextBoundMention,Phrase,
332,presented,Materials and methods are presented in Section 2 .,4,5,TextBoundMention,Phrase,
333,Materials,Materials and methods are presented in Section 2 .,0,1,TextBoundMention,Phrase,"(food material, foodon:00002403, 0.76)"
334,proposed model,Section 3 is solely devoted to properties of solutions and asymptotic stability of the proposed model .,14,16,TextBoundMention,Model,
335,which could signiﬁcantly,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",11,16,RelationMention,Context,
336,with some insightful ﬁndings,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",3,8,RelationMention,Context,
337,in fractional sense,"Later , optimal control problem has been designed in fractional sense in Section 6 .",8,11,RelationMention,Context,
338,in Section 6,"Later , optimal control problem has been designed in fractional sense in Section 6 .",11,14,RelationMention,Context,
339,by a projection of the evolution of the disease,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",12,21,RelationMention,Context,
340,Caputo,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",12,13,TextBoundMention,Identifier,"(Rosales, ncbitaxon:3744, 0.82)"
341,analysed,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",11,12,TextBoundMention,VerbPhrase,
342,been,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",10,11,TextBoundMention,VerbPhrase,
343,have,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",9,10,TextBoundMention,VerbPhrase,
344,of Bangladesh and India,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",18,22,RelationMention,Context,
345,In Section 4,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",0,3,RelationMention,Context,
346,followed,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",11,12,TextBoundMention,VerbPhrase,
347,been,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",4,5,TextBoundMention,VerbPhrase,
348,performed,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",5,6,TextBoundMention,VerbPhrase,
349,using,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",7,8,TextBoundMention,VerbPhrase,
350,has,"Estimation of parameters has been performed by using real-time data , followed by a projection of the evolution of the disease .",3,4,TextBoundMention,VerbPhrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
351,4,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",2,3,TextBoundMention,Value,"(CEL-170/4, vo:0011326, 1.00), (omodysplasia 2, doid:0080845, 0.76), (fibrochondrogenesis 2, doid:0080673, 0.76)"
352,proved,We also proved the unconditionally stability of the given fractional numerical technique .,2,3,TextBoundMention,VerbPhrase,
353,Picard,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,22,23,TextBoundMention,Identifier,
354,CF,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,7,8,TextBoundMention,Identifier,
355,are,Materials and methods are presented in Section 2 .,3,4,TextBoundMention,VerbPhrase,
356,presented,Materials and methods are presented in Section 2 .,4,5,TextBoundMention,VerbPhrase,
357,"In Section 5 , numerical","In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",0,5,RelationMention,Context,
358,strategies,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",9,10,TextBoundMention,Phrase,
359,insightful ﬁndings,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",5,8,TextBoundMention,Phrase,
360,COVID-19,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",21,22,TextBoundMention,Phrase,"(severe COVID-19, doid:0081013, 0.83), (critical COVID-19, doid:0081012, 0.82), (non-severe COVID-19, doid:0081014, 0.81), (COVID-19, doid:0080600, 0.77), (COVID-19 vaccine, vo:0004908, 0.76)"
361,ﬁ,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",14,15,TextBoundMention,Phrase,
362,chapter,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",1,2,TextBoundMention,Phrase,
363,transmission dynamics,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",18,20,TextBoundMention,Phrase,"(cyclodevelopmental transmission, trans:0000030, 0.83), (cyclopropagative transmission, trans:0000029, 0.83), (droplet spread transmission, trans:0000008, 0.78), (transmission process, trans:0000000, 0.78), (vertical transmission, trans:0000032, 0.76)"
364,which,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",11,12,TextBoundMention,Phrase,"(during which exists, bfo:0000157, 0.76)"
365,In this study,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",0,3,RelationMention,Context,
366,"in the absence of a safe, effective and world-wide approved vaccine","In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",4,16,RelationMention,Context,
367,ends,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",2,3,TextBoundMention,VerbPhrase,"(ends, ro:0002229, 0.92)"
368,signi,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",13,14,TextBoundMention,VerbPhrase,
369,control,"The chapter ends with some insightful fi ndings and strategies , which could signi fi cantly control the transmission dynamics of COVID-19 .",16,17,TextBoundMention,VerbPhrase,
370,CF,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",17,18,TextBoundMention,Identifier,
371,Caputo,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",13,14,TextBoundMention,Identifier,"(Rosales, ncbitaxon:3744, 0.82)"
372,called,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",12,13,TextBoundMention,VerbPhrase,
373,used,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",5,6,TextBoundMention,VerbPhrase,
374,6,"Later , optimal control problem has been designed in fractional sense in Section 6 .",13,14,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.85), (omodysplasia 2, doid:0080845, 0.79), (fibrochondrogenesis 2, doid:0080673, 0.79), (digit 1 or 5, uberon:0019221, 0.78), (hyperalphalipoproteinemia 1, doid:0111369, 0.77)"
375,different interventions scenarios,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",6,9,TextBoundMention,Phrase,
376,analysed,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",11,12,TextBoundMention,Phrase,
377,been,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",10,11,TextBoundMention,Phrase,
378,have,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",9,10,TextBoundMention,Phrase,
379,impacts,"In addition , the impacts of different interventions scenarios have been analysed rigorously .",4,5,TextBoundMention,Phrase,
380,in mathematical epidemiology,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,7,10,RelationMention,Context,
381,in CF derivative sense,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,6,10,RelationMention,Context,
382,by  well-known technique named,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,17,21,RelationMention,Context,
383,given fractional numerical technique,We also proved the unconditionally stability of the given fractional numerical technique .,8,12,TextBoundMention,Phrase,
384,We,We also proved the unconditionally stability of the given fractional numerical technique .,0,1,TextBoundMention,Phrase,
385,unconditionally stability,We also proved the unconditionally stability of the given fractional numerical technique .,4,6,TextBoundMention,Phrase,
386,CF derivative sense,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,7,10,TextBoundMention,Phrase,
387,well-known technique,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,18,20,TextBoundMention,Phrase,
388,We,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,0,1,TextBoundMention,Phrase,
389,existence,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,13,14,TextBoundMention,Phrase,"(existence overlaps, ro:0002490, 0.84)"
390,Lindelof technique,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,24,26,TextBoundMention,Phrase,
391,optimal control problem,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,3,6,TextBoundMention,Phrase,
392,named,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,20,21,TextBoundMention,Phrase,
393,unique solution,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,15,17,TextBoundMention,Phrase,
394,Picard,We performed the optimal control problem in CF derivative sense and provided the existence of unique solution by well-known technique named as Picard - Lindelof technique .,22,23,TextBoundMention,Phrase,
395,be,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,11,12,TextBoundMention,VerbPhrase,
396,seen,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,12,13,TextBoundMention,VerbPhrase,
397,designed,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",25,26,TextBoundMention,VerbPhrase,
398,has,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",23,24,TextBoundMention,VerbPhrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
399,wearing,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",34,35,TextBoundMention,VerbPhrase,
400,incorporating,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",26,27,TextBoundMention,VerbPhrase,
401,been,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",24,25,TextBoundMention,VerbPhrase,
402,are,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",1,2,TextBoundMention,VerbPhrase,
403,have,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",6,7,TextBoundMention,VerbPhrase,
404,been,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",7,8,TextBoundMention,VerbPhrase,
405,are,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",19,20,TextBoundMention,VerbPhrase,
406,come,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",8,9,TextBoundMention,VerbPhrase,
407,study,"There are so many research papers have been come to study the outbreaks of coronavirus , in which some are [ 12 - 16 ] .",10,11,TextBoundMention,VerbPhrase,"(study design, obi:0500000, 0.83)"
408,Bangladesh,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",19,20,TextBoundMention,Phrase,
409,using,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",14,15,TextBoundMention,Phrase,
410,Section 4,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",1,3,TextBoundMention,Phrase,
411,daily COVID-19 data,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",15,18,TextBoundMention,Phrase,
412,estimation of  model parameters and  projection results,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",4,11,TextBoundMention,Phrase,
413,have,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",11,12,TextBoundMention,Phrase,
414,discussed,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",13,14,TextBoundMention,Phrase,
415,been,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",12,13,TextBoundMention,Phrase,
416,India,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",21,22,TextBoundMention,Phrase,
417,in Section 2,Materials and methods are presented in Section 2 .,5,8,RelationMention,Context,
418,two,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",15,16,TextBoundMention,Value,
419,2,Materials and methods are presented in Section 2 .,7,8,TextBoundMention,Value,"(omodysplasia 2, doid:0080845, 1.00), (fibrochondrogenesis 2, doid:0080673, 1.00), (zygodactyly 1, doid:0111820, 0.86), (omodysplasia 1, doid:0080844, 0.86), (fibrochondrogenesis 1, doid:0080672, 0.86)"
420,Bangladesh,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",19,20,TextBoundMention,Location,
421,India,"In Section 4 , estimation of model parameters and projection results have been discussed using daily COVID-19 data of Bangladesh and India .",21,22,TextBoundMention,Location,
422,7,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",22,23,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 0.84), (achromatopsia 7, doid:0110009, 0.80), (pericytoma with t(7;12), doid:0080896, 0.80), (Coffin-Siris syndrome 7, doid:0112369, 0.78), (psoriasis 7, doid:0111279, 0.78)"
423,5,"In Section 5 , numerical and graphical simulations have been illustrated using Caputo - Fabrizio fractional derivatives .",2,3,TextBoundMention,Value,"(SG33-VP2/5, vo:0004706, 1.00), (digit 1 or 5, uberon:0019221, 0.81), (Coffin-Siris syndrome 5, doid:0112368, 0.76), (agammaglobulinemia 5, doid:0080588, 0.75), (psoriasis 5, doid:0111282, 0.75)"
424,For fractional simulations,"For fractional simulations , we used the well known non-integer order derivative called Caputo - Fabrizio ( CF ) fractional derivative [ 7 ] .",0,3,RelationMention,Context,
425,has,"Later , optimal control problem has been designed in fractional sense in Section 6 .",5,6,TextBoundMention,VerbPhrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
426,been,"Later , optimal control problem has been designed in fractional sense in Section 6 .",6,7,TextBoundMention,VerbPhrase,
427,designed,"Later , optimal control problem has been designed in fractional sense in Section 6 .",7,8,TextBoundMention,VerbPhrase,
428,worst-hit countries,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",27,29,TextBoundMention,Phrase,
429,countries namely Bangladesh,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",16,19,TextBoundMention,Phrase,
430,future dynamics,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",9,11,TextBoundMention,Phrase,
431,COVID-19 outbreak,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",12,14,TextBoundMention,Phrase,"(severe COVID-19, doid:0081013, 0.75)"
432,world,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",31,32,TextBoundMention,Phrase,
433,are,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",23,24,TextBoundMention,Phrase,
434,work,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",4,5,TextBoundMention,Phrase,
435,which,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",22,23,TextBoundMention,Phrase,"(during which exists, bfo:0000157, 0.76)"
436,India,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",20,21,TextBoundMention,Phrase,
437,aim,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",1,2,TextBoundMention,Phrase,
438,[9,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,14,16,TextBoundMention,Phrase,"(Elevated 8(9)-cholestenol, hp:0003465, 0.80)"
439,non-integer order derivatives,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,4,7,TextBoundMention,Phrase,
440,Recently some applications,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,0,3,TextBoundMention,Phrase,
441,mathematical epidemiology,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,8,10,TextBoundMention,Phrase,
442,be,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,11,12,TextBoundMention,Phrase,
443,11,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,17,18,TextBoundMention,Phrase,
444,seen,Recently some applications of non-integer order derivatives in mathematical epidemiology can be seen from [ 9 - 11 ] .,12,13,TextBoundMention,Phrase,
445,which are one of the worst-hit countries in the world,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",22,32,RelationMention,Context,
446,in two countries namely Bangladesh,"The aim of this work is to project the future dynamics of COVID-19 outbreak in two countries namely Bangladesh and India , which are one of the worst-hit countries in the world .",14,19,RelationMention,Context,
447,has,"Later , optimal control problem has been designed in fractional sense in Section 6 .",5,6,TextBoundMention,Phrase,"(has skeleton, ro:0002551, 0.84), (has quality, ro:0000086, 0.77), (has output, ro:0002234, 0.76)"
448,Section 6,"Later , optimal control problem has been designed in fractional sense in Section 6 .",12,14,TextBoundMention,Phrase,
449,been,"Later , optimal control problem has been designed in fractional sense in Section 6 .",6,7,TextBoundMention,Phrase,
450,fractional sense,"Later , optimal control problem has been designed in fractional sense in Section 6 .",9,11,TextBoundMention,Phrase,
451,optimal control problem,"Later , optimal control problem has been designed in fractional sense in Section 6 .",2,5,TextBoundMention,Phrase,
452,designed,"Later , optimal control problem has been designed in fractional sense in Section 6 .",7,8,TextBoundMention,Phrase,
453,new compartmental mathematical COVID19 model,"In this study , in the absence of a safe , effective and world-wide approved vaccine , a new compartmental mathematical COVID19 model has been designed incorporating all possible nonpharmaceutical intervention strategies such as wearing face coverings , social distancing , home or self-quarantine and self or institutional isolation .",18,23,TextBoundMention,Model,
454,numerical data,We used the numerical data of the two given countries and perform the all necessary graphical simulations .,3,5,TextBoundMention,Phrase,"(data set, iao:0000100, 0.77), (data item, iao:0000027, 0.76)"
455,necessary graphical simulations,We used the numerical data of the two given countries and perform the all necessary graphical simulations .,14,17,TextBoundMention,Phrase,
456,two given countries,We used the numerical data of the two given countries and perform the all necessary graphical simulations .,7,10,TextBoundMention,Phrase,
457,We,We used the numerical data of the two given countries and perform the all necessary graphical simulations .,0,1,TextBoundMention,Phrase,
458,Materials,Materials and methods,0,1,TextBoundMention,Phrase,"(food material, foodon:00002403, 0.76)"
459,methods,Materials and methods,2,3,TextBoundMention,Phrase,
460,"nine mutually, exclusive compartments of  susceptible individuals (","Considering different infection status , the entire human population ( de ) noted by N ( t at time t ) has been strati fi ed into nine mutually , exclusive compartments of susceptible individuals ( S ( t ) ) early , , exposed individuals ( t ) ) pre-symptomatic individuals ( t ) ) ( E 1 ( E 2 , symptomatically-infectious ( I ( t ) ) asymptomatically-infectious or , infectious individuals with mild-symptoms ( A ( t ) ) quarantined in , , fectious ( Q ( t ) ) hospitalised or isolated individuals ( L ( t ) ) re , covered individuals ( R ( t ) ) disease-induced death cases ( D ( t ) ) .",27,36,RelationMention,ParameterSetting,
461,exclusive compartments of  susceptible individuals (S(t )),"Considering different infection status , the entire human population ( de ) noted by N ( t at time t ) has been strati fi ed into nine mutually , exclusive compartments of susceptible individuals ( S ( t ) ) early , , exposed individuals ( t ) ) pre-symptomatic individuals ( t ) ) ( E 1 ( E 2 , symptomatically-infectious ( I ( t ) ) asymptomatically-infectious or , infectious individuals with mild-symptoms ( A ( t ) ) quarantined in , , fectious ( Q ( t ) ) hospitalised or isolated individuals ( L ( t ) ) re , covered individuals ( R ( t ) ) disease-induced death cases ( D ( t ) ) .",30,41,RelationMention,Description,
462,covered individuals (R (t ),"Considering different infection status , the entire human population ( de ) noted by N ( t at time t ) has been strati fi ed into nine mutually , exclusive compartments of susceptible individuals ( S ( t ) ) early , , exposed individuals ( t ) ) pre-symptomatic individuals ( t ) ) ( E 1 ( E 2 , symptomatically-infectious ( I ( t ) ) asymptomatically-infectious or , infectious individuals with mild-symptoms ( A ( t ) ) quarantined in , , fectious ( Q ( t ) ) hospitalised or isolated individuals ( L ( t ) ) re , covered individuals ( R ( t ) ) disease-induced death cases ( D ( t ) ) .",106,113,RelationMention,Description,
